,HANDLE,bldg_price,VB,new_construction_price,NC,side_lot_price,SL,vacant_lot_price,VL
0,10019000015,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
1,10020000030,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
2,10020000040,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
3,10023000025,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
4,10041000040,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,3834.868988,"$3,834.87"
5,10041000070,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,867.469804,$867.47
6,10041000080,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,2305.9721855000003,"$2,305.97"
7,10041000170,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,2579.684576,"$2,579.68"
8,10044040050,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,3704.219113,"$3,704.22"
9,10050000105,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
10,10051000035,-1.0,Contact LRA,0.0,N/A,0.0,N/A,0.0,N/A
11,10052000010,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12,10052000050,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,521.2902725,$521.29
13,10052000080,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,1537.4732405,"$1,537.47"
14,10052000100,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,8132.49386,"$8,132.49"
15,10075000015,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
16,10117000015,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
17,10118000015,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
18,10118000016,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
19,10122000050,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
20,10124000010,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
21,10124000020,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
22,10124000030,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
23,10124000040,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
24,10124000050,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
25,10124000060,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
26,10124000070,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
27,10124000080,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
28,10124000090,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
29,10124000100,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
30,10124000110,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
31,10124000120,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
32,10124000130,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
33,10124000140,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
34,10124000150,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
35,10141000013,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,2660.2273566,"$2,660.23"
36,10150050055,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
37,10150060030,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
38,10151000020,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,84.72466515,$84.72
39,10223000010,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
40,10228000030,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
41,10229000010,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
42,10250130011,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
43,10257000080,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
44,10259000011,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
45,10259000012,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,-1.0,Contact LRA
46,10272000050,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
47,10272000060,-1.0,Contact LRA,0.0,N/A,0.0,N/A,0.0,N/A
48,10272000070,-1.0,Contact LRA,0.0,N/A,0.0,N/A,0.0,N/A
49,10272000080,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
50,10308030040,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,8425.33732,"$8,425.34"
51,10314000030,1000.0,"$1,000.00",0.0,N/A,0.0,N/A,0.0,N/A
52,10322000020,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
53,10326000105,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
54,10333000010,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
55,10333000020,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
56,10333000050,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
57,10334000050,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
58,10336000030,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
59,10338000010,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
60,10338000020,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
61,10338000140,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
62,10338000150,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
63,10338000160,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
64,10338000170,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
65,10338000180,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
66,10338000190,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
67,10338000200,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
68,10338000220,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
69,10338000240,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
70,10338000250,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
71,10338000260,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
72,10339000010,0.0,N/A,3000.0,"$3,000.00",-2.0,Ineligible: frontage > 25 ft,6864.972761999999,"$6,864.97"
73,10339000020,0.0,N/A,1393.8749325,"$1,393.87",-2.0,Ineligible: frontage > 25 ft,1728.3930078,"$1,728.39"
74,10339000030,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
75,10339000070,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,582.68610954,$582.69
76,10339000080,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,585.60273624,$585.60
77,10339000090,0.0,N/A,600.0,$600.00,225.6,$225.60,585.61833288,$585.62
78,10339000100,0.0,N/A,600.0,$600.00,225.6,$225.60,575.58878364,$575.59
79,10339000110,0.0,N/A,604.87497,$604.87,227.43298872,$227.43,598.55644788,$598.56
80,10339000125,0.0,N/A,2812.5,"$2,812.50",-2.0,Ineligible: frontage > 25 ft,3600.0780312,"$3,600.08"
81,10339000150,0.0,N/A,1500.0,"$1,500.00",-2.0,Ineligible: frontage > 25 ft,3479.2157729999994,"$3,479.22"
82,10339000160,0.0,N/A,1500.0,"$1,500.00",-2.0,Ineligible: frontage > 25 ft,3480.0705396,"$3,480.07"
83,10340000100,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
84,10340000110,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
85,10340000120,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
